Project: *Global - Messages, [info]  GRPC server running on port: 52412.

Project: M0_cavidade_retangular_smoke_M0, Design: HFSS_ENZ_M0_cavidade_retangular_smoke_M0 (Eigenmode), [info]  Normal completion of simulation on server: Local Machine. (02:37:16 PM  Aug 03, 2026)
Project: M0_cavidade_retangular_smoke_M0, Design: HFSS_ENZ_M0_cavidade_retangular_smoke_M0 (Eigenmode), [warning]  The variable  'Phase' doesn't have an associated sweep and is excluded from the definition of trace. (02:37:16 PM  Aug 03, 2026)
Project: M0_cavidade_retangular_smoke_M0, Design: HFSS_ENZ_M0_cavidade_retangular_smoke_M0 (Eigenmode), [warning]  The variable  'Phase' doesn't have an associated sweep and is excluded from the definition of trace. (02:37:17 PM  Aug 03, 2026)
Project: M0_cavidade_retangular_smoke_M0, Design: HFSS_ENZ_M0_cavidade_retangular_smoke_M0 (Eigenmode), [warning]  The variable  'Phase' doesn't have an associated sweep and is excluded from the definition of trace. (02:37:17 PM  Aug 03, 2026)
Project: M0_cavidade_retangular_smoke_M0, Design: HFSS_ENZ_M0_cavidade_retangular_smoke_M0 (Eigenmode), [warning]  The variable  'Phase' doesn't have an associated sweep and is excluded from the definition of trace. (02:37:17 PM  Aug 03, 2026)
Project: M0_cavidade_retangular_smoke_M0, Design: HFSS_ENZ_M0_cavidade_retangular_smoke_M0 (Eigenmode), [warning]  The variable  'Phase' doesn't have an associated sweep and is excluded from the definition of trace. (02:37:17 PM  Aug 03, 2026)
Project: M0_cavidade_retangular_smoke_M0, Design: HFSS_ENZ_M0_cavidade_retangular_smoke_M0 (Eigenmode), [warning]  The variable  'Phase' doesn't have an associated sweep and is excluded from the definition of trace. (02:37:17 PM  Aug 03, 2026)
Project: M0_cavidade_retangular_smoke_M0, Design: HFSS_ENZ_M0_cavidade_retangular_smoke_M0 (Eigenmode), [warning]  The variable  'Phase' doesn't have an associated sweep and is excluded from the definition of trace. (02:37:17 PM  Aug 03, 2026)
Project: M0_cavidade_retangular_smoke_M0, Design: HFSS_ENZ_M0_cavidade_retangular_smoke_M0 (Eigenmode), [warning]  The variable  'Phase' doesn't have an associated sweep and is excluded from the definition of trace. (02:37:17 PM  Aug 03, 2026)
