"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainCoPolar) []","dB(GainCrossPolar) []"
25.87,90,154,-5.83950530397422,-38.6980147404058
25.87,90,156,-4.99006989309832,-37.1351063313501
25.87,90,158,-4.66315100962477,-35.1406029886124
25.87,90,160,-4.88084277311151,-33.5310721576907
25.87,90,162,-5.66751418172863,-32.7633364498165
25.87,90,164,-7.13029121387037,-33.0741824176323
25.87,90,166,-9.55753766366508,-34.7283112420843
25.87,90,168,-13.741532632122,-38.2163848796722
25.87,90,170,-23.2425328601589,-43.0506982282168
25.87,90,172,-22.2538602626038,-40.5902961398589
25.87,90,174,-13.7906025765531,-36.498554920653
25.87,90,176,-10.0840893513926,-34.3902318125573
25.87,90,178,-8.04699797261331,-33.6884195976407
25.87,90,180,-6.93038063005831,-34.0087699111792
26.22,90,-180,-6.78658406490345,-33.0208171868294
26.22,90,-178,-6.31285552287125,-34.0711647837219
26.22,90,-176,-6.22622298892684,-35.8004803177546
26.22,90,-174,-6.41836995679821,-38.1614534143505
26.22,90,-172,-6.80605017242365,-41.1480736634711
26.22,90,-170,-7.32552495652771,-44.617663299913
26.22,90,-168,-7.93238028245899,-46.8059026930312
26.22,90,-166,-8.60104509241089,-44.6130744232283
26.22,90,-164,-9.31870415210429,-41.0009350376585
26.22,90,-162,-10.0686017618308,-38.0344146764407
26.22,90,-160,-10.79832502161,-35.8977216746287
26.22,90,-158,-11.3785372787681,-34.5430311491586
26.22,90,-156,-11.6027353495328,-33.913922941021
26.22,90,-154,-11.3207448256245,-33.9274417732251
26.22,90,-152,-10.6203715184377,-34.4146175435707
26.22,90,-150,-9.77601772056906,-35.0700395694989
26.22,90,-148,-9.04302770552573,-35.5718624419431
26.22,90,-146,-8.56441646374233,-35.9046036405625
26.22,90,-144,-8.38630106546898,-36.3573357503022
26.22,90,-142,-8.49500329657286,-37.0640536519004
26.22,90,-140,-8.85239319886765,-37.5833766212627
26.22,90,-138,-9.43377396982058,-37.1705306380151
26.22,90,-136,-10.2573791746796,-36.0511670289197
26.22,90,-134,-11.3679198391651,-35.1169005647171
26.22,90,-132,-12.7134220714409,-34.8607886642078
26.22,90,-130,-13.8434244540525,-35.418919907237
26.22,90,-128,-13.8521787400226,-36.7947790594478
26.22,90,-126,-12.6489646306508,-38.9301124802749
26.22,90,-124,-11.1998679670009,-41.7354673210504
26.22,90,-122,-10.1493112332251,-45.3134023733594
26.22,90,-120,-9.68055825276377,-50.7913787712834
26.22,90,-118,-9.81015522597407,-57.5199014667981
26.22,90,-116,-10.5017578770882,-48.4083570588971
26.22,90,-114,-11.6453863416578,-43.1389841343735
26.22,90,-112,-12.9090838343249,-40.2008825921941
26.22,90,-110,-13.5788682701493,-38.6223540140334
26.22,90,-108,-13.1168275495367,-38.0374798306502
26.22,90,-106,-11.9918096904697,-38.2624176128479
26.22,90,-104,-10.9378895368004,-39.1369755895808
26.22,90,-102,-10.3103527249199,-40.3613096408952
26.22,90,-100,-10.2207309992991,-41.3402716614746
26.22,90,-98,-10.6938979139241,-41.5605324780677
26.22,90,-96,-11.6908773428811,-41.3685991332965
26.22,90,-94,-12.9917884777443,-41.5533591636767
26.22,90,-92,-13.9384984730687,-42.6848731475594
26.22,90,-90,-13.6997341504508,-44.8852568391632
